epoch;epsilon;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.2599692846928761;0.3315431773662567;0.88045776;0.5036076348060631;0.8336900583269747;0.49874686716791977;0.89014906;0.67522657;0.98306286;0.22496225;0.88019866;0.4870980489636637;0.8275922535350408;0.3057933449745178;0.49770642201834864;0.8913894;0.6602564;0.9809763;0.23623854
1;0.2619945962467855;0.3081665337085724;0.88406783;0.5286410956517145;0.8461979985075514;0.5218922999496729;0.8963652;0.67484665;0.979124;0.2767992;0.88019866;0.5070794095967599;0.8371139774890178;0.29840999841690063;0.5022935779816514;0.89735097;0.62376237;0.97272074;0.28899083
2;0.26401990780069495;0.3034314513206482;0.8856345;0.5402055823057151;0.851721315381554;0.5228988424760946;0.90280116;0.6527778;0.9724279;0.3311525;0.87740535;0.5082388336276966;0.8384525840210226;0.29895755648612976;0.5091743119266054;0.899432;0.5895197;0.9662599;0.30963302
3;0.26604521935460435;0.2992367446422577;0.88577074;0.5580480003937074;0.8591954130079327;0.533467539003523;0.8983872;0.6814988;0.97857255;0.29290387;0.8829919;0.517895971176013;0.8426116493344837;0.3034883737564087;0.5022522522522522;0.90029913;0.63849765;0.9723618;0.3119266
4;0.2680705309085138;0.2941799759864807;0.8886316;0.5753991148681891;0.86732585660583;0.5465525918470056;0.89578414;0.7478873;0.98589885;0.26723704;0.8795779;0.5237080858338322;0.8484896632573088;0.2924337387084961;0.5080091533180778;0.8918301;0.6481481;0.9795406;0.24082568
5;0.2700958424624232;0.2894916832447052;0.8905388;0.5846292533915424;0.8699691210133871;0.5540472599296129;0.90103453;0.7214452;0.9811722;0.3115249;0.88485414;0.5337719505933358;0.8530084893668868;0.2901623845100403;0.5022935779816514;0.900232;0.6585366;0.9748744;0.30963302
6;0.27212115401633263;0.28496426343917847;0.8914243;0.5913930284392953;0.8721611698666193;0.5477867203219315;0.9015919;0.728223;0.9815661;0.31555107;0.8836127;0.5242578948105644;0.850019264079243;0.30668172240257263;0.5;0.8995691;0.64878047;0.9741565;0.30504587
7;0.274146465570242;0.28000256419181824;0.8897214;0.6027439656569789;0.8749804444185774;0.5567839195979899;0.893484;0.80263156;0.9905467;0.24559638;0.88547486;0.5308773945144707;0.8475091710189215;0.29711660742759705;0.5068181818181818;0.8945478;0.7106918;0.98348886;0.25917432
8;0.27617288083617;0.2785479724407196;0.89244604;0.6221998035556439;0.8843541987785897;0.5742325113236034;0.8964828;0.8072289;0.9899165;0.2697534;0.88112974;0.5337942307341158;0.8566736039305307;0.2872990071773529;0.5068807339449541;0.89251876;0.66459626;0.98061734;0.24541284
9;0.27819819239007937;0.2761063575744629;0.8959199;0.6253166962358829;0.8861859610708933;0.5734406438631791;0.9038044;0.76842105;0.98440206;0.33064923;0.88268155;0.5400790578521152;0.8536580346028966;0.2890356481075287;0.5229357798165137;0.897885;0.6479592;0.9752333;0.2912844
10;0.28022350394398876;0.27221986651420593;0.89850825;0.6344626347894764;0.8894505438652011;0.5835010060362174;0.9157637;0.7058824;0.97203404;0.4287871;0.8795779;0.5439868367754026;0.8558668177058294;0.28688839077949524;0.5206422018348624;0.90754586;0.5857143;0.95836323;0.3761468
11;0.2822488154978982;0.27188560366630554;0.8968054;0.6365141755519995;0.8908033579540054;0.587820835430297;0.90203553;0.8033419;0.98794705;0.31454453;0.88392305;0.53392583534831;0.8545948945250499;0.2932592034339905;0.5298165137614679;0.8980198;0.6614583;0.9766691;0.2912844
12;0.2842741270518076;0.2667256295681;0.90000683;0.6435129293411932;0.8932225607935749;0.5892678034102307;0.91175175;0.74737847;0.979124;0.39456466;0.880509;0.5411116947995923;0.8554247317847429;0.28672125935554504;0.5252293577981652;0.9024472;0.6066946;0.9662599;0.3325688
13;0.28629943860571705;0.2627570331096649;0.90225464;0.6559607105768073;0.8974621077653876;0.6014056224899599;0.9140251;0.75461257;0.9790452;0.4116759;0.8798883;0.5367178625864654;0.8536769693816396;0.28904345631599426;0.5091743119266054;0.90482616;0.5945946;0.96231157;0.35321102
14;0.28832475015962644;0.2612827718257904;0.9019821;0.6556654084379159;0.8973459834917195;0.6001006036217303;0.9090645;0.7965368;0.98518986;0.37040764;0.88019866;0.5341179086888423;0.8554181457747453;0.28616929054260254;0.5056947608200456;0.89893615;0.6168224;0.9705671;0.3027523
15;0.2903500617135359;0.26209360361099243;0.90320826;0.6671636719753204;0.899738762012955;0.6099647710115752;0.9118743;0.78413653;0.98306286;0.39305484;0.88019866;0.5478818882353487;0.8605198337691077;0.2845942974090576;0.5229357798165137;0.903497;0.6008065;0.9644652;0.3417431
16;0.2923764769794638;0.2590849995613098;0.905456;0.6707853792717899;0.9021556257155678;0.6111670020120724;0.9151124;0.7817498;0.98172367;0.41821843;0.88175046;0.5416205373348681;0.8561166744601119;0.29036012291908264;0.5114678899082569;0.90583867;0.6061776;0.9633884;0.36009175
17;0.2944017885333732;0.2581457793712616;0.90702266;0.6825526438914424;0.904657213751683;0.6260694514343231;0.9270904;0.719323;0.9686466;0.5133367;0.8795779;0.5406894575367883;0.8551579983798415;0.29477933049201965;0.5260770975056689;0.9137336;0.5740741;0.95046663;0.4266055
18;0.2964271000872826;0.25679346919059753;0.90688646;0.6831028674321091;0.9055846419086596;0.6202213279678068;0.9157308;0.79300565;0.98274773;0.42224458;0.8808194;0.5530221774884738;0.8537823455416006;0.29116615653038025;0.5298165137614679;0.9060176;0.5984849;0.9619526;0.36238533
19;0.2984524116411921;0.25582414865493774;0.9049111;0.6828624481879341;0.9056623686544862;0.6128707893413776;0.9119148;0.80558425;0.98518986;0.3920483;0.88392305;0.5375402898588654;0.8497846374730798;0.290305495262146;0.4977578475336323;0.9009308;0.6448598;0.97272074;0.31651375
20;0.30047772319510146;0.25161248445510864;0.9102241;0.6992068453430033;0.9098361026203963;0.6331152491192753;0.91971666;0.7962799;0.9818812;0.45244086;0.8833023;0.5346247277686643;0.8456585022096064;0.29592108726501465;0.48863636363636365;0.9062711;0.6171875;0.96482414;0.36238533
21;0.30250303474901086;0.25124484300613403;0.91042846;0.6962404493599357;0.9091352535771152;0.614185110663984;0.9240516;0.76582277;0.9766819;0.48716658;0.8783364;0.5480586223268474;0.8540326139215079;0.29707810282707214;0.5114678899082569;0.91049385;0.5718954;0.9529792;0.40137616
22;0.3045283463029203;0.2513284683227539;0.91049653;0.703972878921342;0.9104267148787902;0.6407035175879398;0.93237084;0.72123605;0.9665984;0.55208856;0.8724395;0.5529919007343141;0.8541017670264824;0.298980176448822;0.5160550458715596;0.9130435;0.5360231;0.94221103;0.4266055
23;0.3065536578568297;0.24964234232902527;0.9106328;0.706420935379453;0.9139554615636583;0.6406643180674384;0.921743;0.78433025;0.979833;0.46854556;0.88019866;0.5477541786976363;0.8485300025685438;0.2929801344871521;0.5114678899082569;0.9065041;0.5925926;0.96051687;0.36697248
24;0.3085800731227576;0.24943967163562775;0.91356176;0.7136101316940233;0.9129098078743914;0.6458752515090543;0.9209343;0.82342345;0.98455966;0.45998994;0.8836127;0.5419699220238748;0.8470234527816013;0.29342424869537354;0.4988558352402746;0.9063027;0.61960787;0.9651831;0.36238533
25;0.31060538467666704;0.2470230758190155;0.9100879;0.713271421583094;0.9154894001810571;0.6443661971830986;0.91571635;0.83316684;0.9868442;0.41972822;0.8836127;0.5434108853832074;0.8499064786580345;0.29281264543533325;0.5091743119266054;0.90304244;0.63203466;0.9694903;0.33486238
26;0.3126306962305765;0.24559283256530762;0.90334445;0.711817140183471;0.9146916751860148;0.6517362858580775;0.90467304;0.87866664;0.99283123;0.33165577;0.88392305;0.5439092723631764;0.8429063732818746;0.29440924525260925;0.5160550458715596;0.8951507;0.68235296;0.98061734;0.26605505
